key,code,brand,model,type,seats,doors,accelleration,image,tag
31456,31456,Mazda,3,Sedan,5,4,10.6 sec,https://www.auto-data.net//images/f43/Mazda-3-II-Sedan-BL_1.jpg,210
43193,43193,Volvo,C70,Coupe - Cabriolet,4,2,7.6 sec,https://www.auto-data.net//images/f61/Volvo-C70-Coupe-Cabrio-II_1.jpg,211
22069,22069,Ford,Galaxy,Minivan,5-7,5,13.6 sec,https://www.auto-data.net//images/f23/file9280458.jpg,212
13847,13847,Hyundai,Coupe,Coupe,4,2,11.2 sec,https://www.auto-data.net//images/f89/Hyundai-Coupe-I-RD_1.jpg,213
39,39,Daihatsu,Pyzar,Minivan,5,5,https://www.auto-data.net//images/f106/Daihatsu-Pyzar-G3.jpg,214
20747,20747,Audi,Q3,SUV,5,5,9.6 sec,https://www.auto-data.net//images/f17/file4304020.jpg,215
6086,6086,Vauxhall,Combo,Pick-up,2,3,https://www.auto-data.net//images/f109/Vauxhall-Combo-B.jpg,218
38115,38115,Toyota,C-HR,SUV,5,5,10.9 sec,https://www.auto-data.net//images/f32/Toyota-C-HR-facelift-2020_1.jpg,220
31034,31034,Lincoln,MKS,Sedan,5,4,https://www.auto-data.net//images/f0/lincoln-mks-i-facelift-2013.jpg,222
20408,20408,Skoda,Fabia,Station wagon,5,5,11 sec,https://www.auto-data.net//images/f29/file820534.jpg,223
29796,29796,Renault,Captur,Crossover,5,5,13.1 sec,https://www.auto-data.net//images/f1/renault-captur-facelift-2017_1.jpg,224
36612,36612,Fiat,Panda,Hatchback,4-5,5,12.8 sec,https://www.auto-data.net//images/f83/Fiat-Panda-III-4x4_1.jpg,228
17516,17516,Mazda,CX-5,SUV,5,5,10.5 sec,https://www.auto-data.net//images/f20/file4386385.jpg,229
856,856,Nissan,Bluebird,Sedan,5,4,11.9 sec,https://www.auto-data.net//images/f71/Nissan-Bluebird-Sylphy-I_1.jpg,230
51538,51538,Lynk & Co,01,SUV,5,5,9 sec,https://www.auto-data.net//images/f109/Lynk-Co-01-facelift-2020_3.jpg,232
33660,33660,Jeep,Wrangler,Off-road vehicle,4,2,https://www.auto-data.net//images/f83/Jeep-Wrangler-IV-2-door-JL_1.jpg,233
7698,7698,Ford,Mondeo,Station wagon,5,5,10.2 sec,https://www.auto-data.net//images/f115/Ford-Mondeo-II-Wagon_1.jpg,234
15447,15447,Mitsubishi,Delica,Minivan,9,4,https://www.auto-data.net//images/f35/Mitsubishi-Delica_1.jpg,235
36174,36174,Volkswagen,T-Roc,SUV,5,5,7.2 sec,https://www.auto-data.net//images/f61/Volkswagen-T-Roc_1.jpg,238
13436,13436,Seat,Cordoba,Coupe,5,3,12.5 sec,https://www.auto-data.net//images/f98/Seat-Cordoba-Coupe-I.jpg,244
1915,1915,Opel,Kadett,Hatchback,5,5,11.5 sec,https://www.auto-data.net//images/f89/Opel-Kadett-E-CC_1.jpg,245
36711,36711,Ford,C-MAX,MPV,5,5,https://www.auto-data.net//images/f120/Ford-C-MAX_1.jpg,246
11982,11982,Saab,900,Liftback,5,3-5,https://www.auto-data.net//images/f121/Saab-900-I-Combi-Coupe_1.jpg,247
22458,22458,SsangYong,Korando,SUV,5,5,10.8 sec,https://www.auto-data.net//images/f76/SsangYong-Korando-III-C_1.jpg,248
5318,5318,Peugeot,406,Station wagon,5,5,12.8 sec,https://www.auto-data.net//images/f96/Peugeot-406-Break-8_1.jpg,249
39239,39239,BMW,X3,SAV,5,5,https://www.auto-data.net//images/f4/bmw-x3-g01_1.jpg,250
6721,6721,Porsche,Cayenne,SUV,5,5,4.8 sec,https://www.auto-data.net//images/f31/Porsche-Cayenne-955-facelift-2007_1.jpg,254
23640,23640,Dacia,Logan,Sedan,5,4,11 sec,https://www.auto-data.net//images/f106/Dacia-Logan-II_1.jpg,255
14674,14674,Izh,2126,Hatchback,5,5,16 sec,https://www.auto-data.net//images/f5/big7385.jpg,256
6333,6333,Vauxhall,Vectra,Sedan,4,4,11 sec,https://www.auto-data.net//images/f34/Vauxhall-Vectra-B.jpg,259
24633,24633,Mitsubishi,Galant,Sedan,5,4,9.7 sec,https://www.auto-data.net//images/f105/Mitsubishi-Galant-VIII_1.jpg,260
38231,38231,Ford,F-350 Super Duty,Pick-up,6,4,https://www.auto-data.net//images/f68/Ford-F-350-Super-Duty-IV-facelift-2020-Crew-Cab-Long-box_1.jpg,263
42315,42315,Mercedes-Benz,G-class,Off-road vehicle,5,3,7.4 sec,https://www.auto-data.net//images/f42/Mercedes-Benz-G-class-W463_1.jpg,264
17780,17780,BMW,X6,SUV,4-5,5,6.5 sec,https://www.auto-data.net//images/f70/BMW-X6-E71-facelift-2012_1.jpg,265
42864,42864,Mercedes-Benz,W124,Coupe,4,2,8.2 sec,https://www.auto-data.net//images/f130/Mercedes-Benz-Coupe-C124_1.jpg,270
30039,30039,Jeep,Compass,SUV,5,4,11 sec,https://www.auto-data.net//images/f76/Jeep-Compass-I_1.jpg,271
42256,42256,Isuzu,D-Max,Pick-up,5,4,https://www.auto-data.net//images/f82/Isuzu-D-Max-III-Double-Cab_3.jpg,272
28935,28935,Kia,Optima,Sedan,5,4,9.8 sec,https://www.auto-data.net//images/f82/Kia-Optima-III_1.jpg,275
1494,1494,Alfa Romeo,156,Station wagon,5,5,6.3 sec,https://www.auto-data.net//images/f115/Alfa-Romeo-156-GTA-Sport-Wagon_1.jpg,276
33390,33390,Chevrolet,Spark,Hatchback,4,5,https://www.auto-data.net//images/f16/chevrolet-spark-iv.jpg,277
36592,36592,Tata,Altroz,Hatchback,5,5,https://www.auto-data.net//images/f124/Tata-Altroz_1.jpg,278
9464,9464,Volvo,340-360,Hatchback,https://www.auto-data.net//images/f55/Volvo-340-360-343-345.jpg,282
7430,7430,Ford,Escort,Sedan,https://www.auto-data.net//images/f78/Ford-Escort-VI-GAL_1.jpg,283
7828,7828,Ford,Taunus,Sedan,https://www.auto-data.net//images/f102/Ford-Taunus-Coupe-GBCK.jpg,286
48996,48996,ChangAn,CS95,SUV,7,5,https://www.auto-data.net//images/f70/ChangAn-CS95-facelift-2018_1.jpg,287
51828,51828,Leapmotor,C10,SUV,5,5,7.29 sec,https://www.auto-data.net//images/f100/Leapmotor-C10_1.jpg,291
34589,34589,BMW,X7,SUV,6-7,5,5.4 sec,https://www.auto-data.net//images/f13/BMW-X7-G07.jpg,293
49028,49028,Renault,Arkana,"Coupe, SUV",5,5,9.8 sec,https://www.auto-data.net//images/f40/Renault-Arkana-facelift-2023_1.jpg,294
